id,timestamp,message,crypto,tipo,ts
18014,2023-10-23 19:32:44+00:00,This guy was a perma full bull mode in past 6 months. He used entire his energy to show how bullish he was. Price was in range for 6 months & whenever price touched the top range he did long  at resistance😂🤣  Today is really rare that he did a short setup.  I would say Entire Market is in disbelief mode, even the biggest bull has turned to short 😂
17989,2023-10-23 13:30:35+00:00,It's so weird that too many BTC buy setups at this month
17978,2023-10-23 10:52:25+00:00,#TRB Buy Setup
17972,2023-10-23 06:06:51+00:00,#ETH Buy Setup
17967,2023-10-23 03:54:45+00:00,#INJ Buy Setup  Buy High Sell Higher
17954,2023-10-23 00:48:29+00:00,#SOL Buy Setup
17953,2023-10-23 00:46:33+00:00,#LINK Buy Setup
17915,2023-10-21 05:25:59+00:00,#BOND Buy Setup
17905,2023-10-20 14:28:57+00:00,when is the next btc buy setup ?
17898,2023-10-20 08:13:34+00:00,#FET Buy Setup
17896,2023-10-20 08:12:47+00:00,#FET Buy Setup
17888,2023-10-19 17:05:30+00:00,#BTC Buy Setup  I think at this point BTC should be traded as an alt.
17883,2023-10-19 16:14:49+00:00,#BTC BUy Setup  Buy High Sell Higher
17868,2023-10-19 00:16:31+00:00,#LOOM Buy Setup
17866,2023-10-18 16:02:25+00:00,#INJ Swing buy setup
17863,2023-10-18 13:19:34+00:00,#BTC Buy Setup  Buy below red line, Sell above BLue line.  I don't expect too much on big movement  BTC but there should be scalp trades here.
17837,2023-10-17 04:23:25+00:00,#BTC Buy Setup  TP1: 29k4  TP2: 35k5
17820,2023-10-16 12:50:52+00:00,#SOL Buy Setup
17815,2023-10-16 11:50:33+00:00,#BTC Buy Setup  S/L is 4%  I have a gut feeling ETF Spot will be approved soon.
17793,2023-10-15 02:25:39+00:00,#DODOX Buy Setup
17787,2023-10-14 15:50:18+00:00,#BIGTIME Buy Setup
17777,2023-10-14 04:17:30+00:00,#LOOM Buy Setup
17764,2023-10-13 06:18:17+00:00,#BIGTIME BUy Setup  High Risk - Small size only
17757,2023-10-13 03:57:48+00:00,#LOOM Short Setup  Small size only - High Risk
17752,2023-10-12 17:36:49+00:00,#LOOM Short Setup  The 3rd try  HIgh risk
17747,2023-10-12 13:43:57+00:00,#LOOM Short Setup  Show low take profit lower
17745,2023-10-12 13:39:35+00:00,#BCH Short Setup
17744,2023-10-12 13:39:25+00:00,#BC Short Setup
17733,2023-10-12 08:21:55+00:00,#LOOM Short Setup  Try small size only.
17724,2023-10-12 01:07:32+00:00,#BNB Short Setup
17723,2023-10-12 01:06:51+00:00,#BN Short Setup
17720,2023-10-11 17:00:32+00:00,#ETH SHort Setup
